Instance	Min Distance	Seed	Min Vehicle Num	Seed
C101.txt	969.9907569429073	1	10	1
C102.txt	1442.5067602398901	0	11	1
C103.txt	1723.5933402408884	1	11	1
C104.txt	1451.5746446696812	0	10	2
C105.txt	916.6337350451073	1	10	1
C106.txt	1033.5944444664917	1	10	0
C107.txt	908.4460046768082	1	10	1
C108.txt	1250.458974191989	1	11	1
C109.txt	1363.489015144653	1	10	3
C201.txt	591.5565566715015	2	3	0
C202.txt	1182.3338019828232	1	4	1
C203.txt	1429.1369890403118	1	4	0
C204.txt	1261.3362657131618	0	4	0
C205.txt	613.4342851443712	4	3	4
C206.txt	777.006703605969	4	4	0
C207.txt	886.0489396711005	4	4	0
C208.txt	645.4509863385871	4	3	4
R101.txt	1868.405023924327	1	21	1
R102.txt	1811.3752919544859	4	19	4
R103.txt	1641.3735174728085	1	16	1
R104.txt	1373.618062430629	1	12	2
R105.txt	1610.305940316598	4	15	1
R106.txt	1518.4649739707186	4	14	2
R107.txt	1431.7390590472103	2	12	2
R108.txt	1277.279220537082	2	11	2
R109.txt	1490.3732703707883	4	13	0
R110.txt	1379.2229601220931	4	12	1
R111.txt	1466.6488265924493	4	13	0
R112.txt	1221.1553644685227	4	11	0
R201.txt	1884.0621352635776	4	4	2
R202.txt	1722.6681444568358	4	5	0
R203.txt	1563.863340505257	4	4	0
R204.txt	1210.8297797078517	4	3	3
R205.txt	1467.4964828234886	2	3	4
R206.txt	1327.4851231159007	4	3	0
R207.txt	1208.1087525477483	2	3	0
R208.txt	1055.4862880815276	2	3	0
R209.txt	1485.63850267524	2	3	1
R210.txt	1442.1229204280176	4	3	0
R211.txt	1206.5819727103753	2	3	0
RC101.txt	1902.2364764594474	4	16	2
RC102.txt	1890.2329113302808	1	15	1
RC103.txt	1683.9102094979683	4	13	1
RC104.txt	1507.3805514226112	4	12	0
RC105.txt	2004.7177167927032	1	16	2
RC106.txt	1755.578008843133	4	14	0
RC107.txt	1638.046611345241	4	13	1
RC108.txt	1473.2137294365557	2	12	1
RC201.txt	2087.233710263883	2	5	0
RC202.txt	2041.5152651107496	4	4	1
RC203.txt	1684.1208027379043	4	4	0
RC204.txt	1315.0998569663534	0	3	0
RC205.txt	2044.2883575331516	4	5	0
RC206.txt	1710.7575058868315	4	4	0
RC207.txt	1646.3207500626772	4	4	0
RC208.txt	1269.7653992852981	4	3	0

Average	1424.3806253622242	-	8.410714285714286	-
